artistName,trackName,msPlayed
David Gilmour,Comfortably Numb (with The Baltic Philharmonic Symphony Orchestra) - Live in Gdańsk,618
OJ Da Juiceman,Make tha Trap Say Aye (feat. Gucci Mane),1514
Quavo,FLIP THE SWITCH (feat. Drake),95402
Jurassic 5,What's Golden,303893
Loose Ends,Nights Of Pleasure,197589
Bone Thugs-N-Harmony,Mo'murda,1877
Ray jr.,Same Crew,5461
Bone Thugs-N-Harmony,Mo'murda,6677
Ray jr.,Same Crew,154858
Loose Ends,Nights Of Pleasure,15679
Mariah Carey,My All,0
The Beatles,I Want You (She's So Heavy) - Remastered 2009,0
The Zombies,Beechwood Park - Mono Version,0
Tinsley Ellis,A Quitter Never Wins,0
21 Savage,all my friends,0
The Weeknd,The Fall,0
Michael Jackson,Butterflies,0
SAINt JHN,Surf Club,149
Dillon Francis,I Can't Take It - Party Favor Remix,170
Colleen D'agostino,Stay - drop the Poptart Edit,320
Slipknot,Vermilion,768
112,Dance With Me (feat. Beanie Sigel) - Radio MIx; 2016 Remix,70506
Dance Gavin Dance,We Own The Night,1301
Youngbloodz,Presidential,25642
Sven Van Hees,The Sun Goes Down,64
Dance Gavin Dance,We Own The Night,789
Youngbloodz,Presidential,173973
Santigold,GO! (feat. Karen O),21
Ronny J,Thriller (Forever) [feat. Ski Mask The Slump God],42
KALIM,Loco,191
Travis Scott,NC-17,490
21 Savage,out for the night,874
Waka Flocka Flame,Chris Paul John Wall (feat. Jimmy Rocket & Leiffy Luciano),1258
Boyz II Men,Uhh Ahh - Sequel Version,24063
Playboi Carti,Old Money,133333
Az Yet,Hard To Say I'm Sorry (feat. Peter Cetera),6147
Natalie Imbruglia,Torn,25032
Metro Boomin,Don't Come Out The House (with 21 Savage),140309
Migos,BBO (Bad Bitches Only),40448
Migos,Slippery (feat. Gucci Mane),65493
YG,666 (feat. YoungBoy Never Broke Again),1151
Quavo,FLIP THE SWITCH (feat. Drake),85375
Isaiah Rashad,Smile,203371
Justin Timberlake,Higher Higher,258506
Masego,Lavish Lullaby,8291
DRAM,Gilligan,272479
DRAM,Gilligan,207800
Wild Nothing,Blue Wings,0
Kota the Friend,Alkaline,0
2 Chainz,OK BITCH,0
YG,Twist My Fingaz,0
Young Dolph,Major (feat. Key Glock),106
Gucci Mane,I Get the Bag (feat. Migos),341
Isaiah Rashad,Tity and Dolla (feat. Hugh Augustine & Jay Rock),746
Playboi Carti,Poke It Out (with Nicki Minaj),1173
Juicy J,One of Those Nights (feat. The Weeknd),1258
O.T. Genasis,Thick (feat. 2 Chainz),2090
Mary J. Blige,Mary's Joint,2325
Gucci Mane,Stutter,2602
Juicy J,Neighbor (feat. Travis Scott),3157
Curren$y,G's Walk In,3306
Ab-Soul,Terrorist Threats (feat. Danny Brown & Jhene Aiko),10538
Masego,Lavish Lullaby,47656
Slipknot,Vermilion,698688
Slipknot,Before I Forget,96298
Korn,Here to Stay,109888
Korn,Freak On a Leash,10560
Korn,Thoughtless,136383
Smokepurpp,Do Not Disturb (feat. Lil Yachty & Offset),3626
Aaliyah,Back & Forth,35285
Usher,U Don't Have to Call,4522
Hot Since 82,The Core (feat. Alex Mills),10284
Eagles,I Can't Tell You Why - 2013 Remaster,879049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,550090
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
