danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.77,0.427,0,-13.458,1,0.046,0.0867,0.000498,0.103,0.757,101.968,audio_features,5Rhk0prd9yuuGA41HAUhGE,spotify:track:5Rhk0prd9yuuGA41HAUhGE,https://api.spotify.com/v1/tracks/5Rhk0prd9yuuGA41HAUhGE,https://api.spotify.com/v1/audio-analysis/5Rhk0prd9yuuGA41HAUhGE,267520,4
0.858,0.661,0,-6.544,1,0.319,0.0182,0.0,0.115,0.611,163.056,audio_features,5O9zs6G6RcB6yP1OKwnwiM,spotify:track:5O9zs6G6RcB6yP1OKwnwiM,https://api.spotify.com/v1/tracks/5O9zs6G6RcB6yP1OKwnwiM,https://api.spotify.com/v1/audio-analysis/5O9zs6G6RcB6yP1OKwnwiM,217960,4
0.866,0.686,2,-7.52,1,0.285,0.0101,0.0,0.0895,0.504,82.499,audio_features,3R2fdTDtARC4xwKSG0rNWE,spotify:track:3R2fdTDtARC4xwKSG0rNWE,https://api.spotify.com/v1/tracks/3R2fdTDtARC4xwKSG0rNWE,https://api.spotify.com/v1/audio-analysis/3R2fdTDtARC4xwKSG0rNWE,279320,4
0.853,0.637,3,-5.924,0,0.331,0.129,0.0,0.267,0.496,86.048,audio_features,1rlIrbWboTRGeKfHhgbJRZ,spotify:track:1rlIrbWboTRGeKfHhgbJRZ,https://api.spotify.com/v1/tracks/1rlIrbWboTRGeKfHhgbJRZ,https://api.spotify.com/v1/audio-analysis/1rlIrbWboTRGeKfHhgbJRZ,156195,4
0.82,0.42,6,-13.55,0,0.134,0.0414,0.602,0.0531,0.757,123.007,audio_features,0LPkzKQ4jArFBiaOUaCdHG,spotify:track:0LPkzKQ4jArFBiaOUaCdHG,https://api.spotify.com/v1/tracks/0LPkzKQ4jArFBiaOUaCdHG,https://api.spotify.com/v1/audio-analysis/0LPkzKQ4jArFBiaOUaCdHG,503413,5
0.825,0.561,10,-7.67,0,0.0489,0.0608,0.803,0.159,0.559,121.993,audio_features,7KCfp7dg5VbQLBaiOthW6s,spotify:track:7KCfp7dg5VbQLBaiOthW6s,https://api.spotify.com/v1/tracks/7KCfp7dg5VbQLBaiOthW6s,https://api.spotify.com/v1/audio-analysis/7KCfp7dg5VbQLBaiOthW6s,417078,4
0.78,0.378,7,-11.481,1,0.464,0.197,0.0,0.0782,0.579,94.895,audio_features,05Iawel3maRW3mSHYmXxMZ,spotify:track:05Iawel3maRW3mSHYmXxMZ,https://api.spotify.com/v1/tracks/05Iawel3maRW3mSHYmXxMZ,https://api.spotify.com/v1/audio-analysis/05Iawel3maRW3mSHYmXxMZ,317800,4
0.693,0.773,11,-8.398,1,0.0457,0.0053,0.774,0.0871,0.554,121.985,audio_features,3nKXJhbEiXWFpgwUSPushi,spotify:track:3nKXJhbEiXWFpgwUSPushi,https://api.spotify.com/v1/tracks/3nKXJhbEiXWFpgwUSPushi,https://api.spotify.com/v1/audio-analysis/3nKXJhbEiXWFpgwUSPushi,412418,4
0.583,0.532,10,-7.11,0,0.0309,0.684,0.0,0.306,0.223,131.741,audio_features,3YKptz29AsOlm7WAVnztBh,spotify:track:3YKptz29AsOlm7WAVnztBh,https://api.spotify.com/v1/tracks/3YKptz29AsOlm7WAVnztBh,https://api.spotify.com/v1/audio-analysis/3YKptz29AsOlm7WAVnztBh,288427,3
0.92,0.553,6,-5.068,1,0.189,0.237,0.0,0.0767,0.947,112.021,audio_features,0EHR9OObFtjlhQB8wSt1m7,spotify:track:0EHR9OObFtjlhQB8wSt1m7,https://api.spotify.com/v1/tracks/0EHR9OObFtjlhQB8wSt1m7,https://api.spotify.com/v1/audio-analysis/0EHR9OObFtjlhQB8wSt1m7,286907,5
0.729,0.72,3,-6.69,1,0.0371,0.125,0.353,0.178,0.0388,122.015,audio_features,5rpx047aanR0h9Rfp1wgBB,spotify:track:5rpx047aanR0h9Rfp1wgBB,https://api.spotify.com/v1/tracks/5rpx047aanR0h9Rfp1wgBB,https://api.spotify.com/v1/audio-analysis/5rpx047aanR0h9Rfp1wgBB,578041,4
0.537,0.413,5,-9.949,0,0.0366,0.604,0.0,0.16,0.22,127.77,audio_features,2OWzR8QoH7KaLtiN65v32x,spotify:track:2OWzR8QoH7KaLtiN65v32x,https://api.spotify.com/v1/tracks/2OWzR8QoH7KaLtiN65v32x,https://api.spotify.com/v1/audio-analysis/2OWzR8QoH7KaLtiN65v32x,195693,4
0.548,0.436,8,-8.284,0,0.0287,0.0228,0.0,0.175,0.407,73.025,audio_features,3v17bXmRHOA3hatmVT9r8I,spotify:track:3v17bXmRHOA3hatmVT9r8I,https://api.spotify.com/v1/tracks/3v17bXmRHOA3hatmVT9r8I,https://api.spotify.com/v1/audio-analysis/3v17bXmRHOA3hatmVT9r8I,146440,4
0.648,0.868,5,-4.726,0,0.0344,0.31,0.763,0.364,0.7,95.999,audio_features,0RHQNsKd1kXLq7bm0l850v,spotify:track:0RHQNsKd1kXLq7bm0l850v,https://api.spotify.com/v1/tracks/0RHQNsKd1kXLq7bm0l850v,https://api.spotify.com/v1/audio-analysis/0RHQNsKd1kXLq7bm0l850v,321074,4
0.287,0.485,7,-13.155,0,0.0498,0.577,0.898,0.322,0.127,135.86,audio_features,21j1PsCiTaO8ZW88UZrh3A,spotify:track:21j1PsCiTaO8ZW88UZrh3A,https://api.spotify.com/v1/tracks/21j1PsCiTaO8ZW88UZrh3A,https://api.spotify.com/v1/audio-analysis/21j1PsCiTaO8ZW88UZrh3A,747325,3
0.714,0.709,5,-11.067,0,0.0743,0.101,9.38e-05,0.0786,0.728,108.018,audio_features,6WEBIVqiEsevfgJefTyuQQ,spotify:track:6WEBIVqiEsevfgJefTyuQQ,https://api.spotify.com/v1/tracks/6WEBIVqiEsevfgJefTyuQQ,https://api.spotify.com/v1/audio-analysis/6WEBIVqiEsevfgJefTyuQQ,222320,4
